,tweet_date,count
0,2021-08-04,312
1,2021-08-05,3952
2,2021-08-06,6510
3,2021-08-07,1754
4,2021-08-08,3346
5,2021-08-09,4758
6,2021-08-10,7093
7,2021-08-11,2776
8,2021-08-12,3954
9,2021-08-13,4980
10,2021-08-14,2559
11,2021-08-15,5608
12,2021-08-16,3181
13,2021-08-17,4605
14,2021-08-18,3730
15,2021-08-19,6713
16,2021-08-20,5951
17,2021-08-21,5115
18,2021-08-22,6126
19,2021-08-23,7396
20,2021-08-24,1825
21,2021-08-25,3823
22,2021-08-26,5835
23,2021-08-27,6734
24,2021-08-28,4570
25,2021-08-29,1001
26,2021-08-30,2576
27,2021-08-31,6727
28,2021-09-01,2409
29,2021-09-02,2583
30,2021-09-03,663
31,2021-09-04,2080
32,2021-09-05,652
33,2021-09-06,466
34,2021-09-07,6549
35,2021-09-08,701
36,2021-09-09,410
37,2021-09-10,4100
38,2021-09-11,853
39,2021-09-12,3253
40,2021-09-13,330
41,2021-09-14,3630
42,2021-09-15,5292
43,2021-09-16,5017
44,2021-09-17,446
45,2021-09-18,3683
46,2021-09-19,5049
47,2021-09-20,505
48,2021-09-21,4007
49,2021-09-22,3593
50,2021-09-23,1519
51,2021-09-24,123
