,retweeted_tweet_id,tweet_text_,tweet_date,tweet_sentiment,retweeted_user_screenname,total_engagement,retweeted_user_screenname,color
0,1422719840641503232,"First Covid, then Delta variant, now Delta Plus. That’s it, I’m finding the cure myself. https://t.co/QDJjaobvtZ",2021-08-06,neutral,nuffsaidny,445706,nuffsaidny,"rgb(102, 197, 204)"
1,1423852028082544640,I think singapore has progressed far enough to put bidets/sprays in every toilet pls....,2021-08-09,positive,0764mg,2582,0764mg,"rgb(246, 207, 113)"
2,1424509535096500224,"Siti Sarah’s death opens the eyes of many on the reality, mothers who are pregnant during this pandemic and infected by C…",2021-08-10,negative,bewithviolet,46325,bewithviolet,"rgb(248, 156, 116)"
3,1424546156336467968,Covid 19 woulda been over if we let these guys handle it https://t.co/3LpIEB7lXC,2021-08-11,neutral,brian2grimey,835580,brian2grimey,"rgb(220, 176, 242)"
4,1424628772356071424,Selaku petugas Pengurusan Jenazah Covid-19 selalunya aku menguruskan jenazah orang lain. Hari ini serba tak kena buat aku. Aku…,2021-08-12,neutral,IamAjak,138712,IamAjak,"rgb(135, 197, 95)"
5,1424662560909922304,"Pro tip for all our F&B friends:
From tomorrow, some anti-vax mooks might try to pull a fast one by screenshotting friends’ TT…",2021-08-12,positive,muttons,2178,muttons,"rgb(158, 185, 243)"
6,1426637601897816064,Vaccinated or not please remember to wear deodorant,2021-08-22,neutral,gabriellamarrie,715539,gabriellamarrie,"rgb(254, 136, 177)"
7,1427408778627059712,KFC had 11 secret herbs and spices and nobody questioned it for years but suddenly you want to know what’s in the Covid vacci…,2021-08-19,neutral,lukeyism,138359,lukeyism,"rgb(201, 219, 116)"
8,1429408033826775040,how can singapore claim to be a developed country when instagram music isnt even available,2021-08-26,neutral,AlifSykes_,2359,AlifSykes_,"rgb(139, 224, 164)"
9,1430264566013911040,"Today the vet told me that since Covid, they’ve had to treat a number of cats with depression caused by irritation that the…",2021-08-26,negative,joannamont,478264,joannamont,"rgb(180, 151, 231)"
