,retweeted_tweet_id,retweeted_tweet_date,tweet_date,retweeted_user_screenname,total_engagement,delta_engagement
0,1422804189063696384,2021-08-04,2021-08-04,tzehern_,1129,0
1,1422804189063696384,2021-08-04,2021-08-05,tzehern_,1494,365
2,1422804189063696384,2021-08-04,2021-08-06,tzehern_,1754,260
3,1424601846283313152,2021-08-09,2021-08-09,ChannelNewsAsia,437,0
4,1424601846283313152,2021-08-09,2021-08-10,ChannelNewsAsia,1042,605
5,1424990319863472128,2021-08-10,2021-08-10,zhusu,725,0
6,1424990319863472128,2021-08-10,2021-08-12,zhusu,1646,921
7,1425286325742096384,2021-08-11,2021-08-11,moniza_hossain,268,0
8,1425286325742096384,2021-08-11,2021-08-12,moniza_hossain,1163,895
9,1425644918920208384,2021-08-12,2021-08-12,jalaladdinnush,61,0
10,1425644918920208384,2021-08-12,2021-08-13,jalaladdinnush,4504,4443
11,1425644918920208384,2021-08-12,2021-08-14,jalaladdinnush,4748,244
12,1425644918920208384,2021-08-12,2021-08-15,jalaladdinnush,4843,95
13,1425644918920208384,2021-08-12,2021-08-19,jalaladdinnush,4914,71
14,1426764822733987840,2021-08-15,2021-08-15,ChannelNewsAsia,947,0
15,1426764822733987840,2021-08-15,2021-08-16,ChannelNewsAsia,1029,82
16,1426764822733987840,2021-08-15,2021-08-17,ChannelNewsAsia,1115,86
17,1427602871642517504,2021-08-17,2021-08-17,VivianBala,63,0
18,1427602871642517504,2021-08-17,2021-08-19,VivianBala,521,458
19,1427917214024273920,2021-08-18,2021-08-18,raaaaachel,624,0
20,1427917214024273920,2021-08-18,2021-08-19,raaaaachel,703,79
21,1427917214024273920,2021-08-18,2021-08-20,raaaaachel,894,191
22,1427917214024273920,2021-08-18,2021-08-26,raaaaachel,1005,111
23,1427917214024273920,2021-08-18,2021-08-29,raaaaachel,1036,31
24,1427917214024273920,2021-08-18,2021-08-31,raaaaachel,1052,16
25,1429254343882985472,2021-08-22,2021-08-22,leehsienloong,806,0
26,1429254343882985472,2021-08-22,2021-08-26,leehsienloong,880,74
27,1429284807503085568,2021-08-22,2021-08-22,VivianBala,3360,0
28,1429284807503085568,2021-08-22,2021-08-23,VivianBala,3804,444
29,1429284807503085568,2021-08-22,2021-08-26,VivianBala,3883,79
30,1429285800320012288,2021-08-22,2021-08-22,ChannelNewsAsia,469,0
31,1429327384533082112,2021-08-22,2021-08-22,leehsienloong,952,0
32,1429327384533082112,2021-08-22,2021-08-23,leehsienloong,1226,274
33,1430151046886612992,2021-08-24,2021-08-24,VivianBala,4163,0
34,1430151046886612992,2021-08-24,2021-08-25,VivianBala,6306,2143
35,1431460651247964160,2021-08-28,2021-08-28,historyogi,641,0
36,1431460651247964160,2021-08-28,2021-08-29,historyogi,796,155
37,1431460651247964160,2021-08-28,2021-08-31,historyogi,860,64
38,1431961340348751872,2021-08-29,2021-08-29,leehsienloong,293,0
39,1431961340348751872,2021-08-29,2021-08-30,leehsienloong,707,414
40,1432531082356793088,2021-08-31,2021-08-31,MothershipSG,1340,0
41,1432531082356793088,2021-08-31,2021-09-01,MothershipSG,1502,162
42,1434881491230543872,2021-09-06,2021-09-06,Jaarfuckingvis,93,0
43,1434881491230543872,2021-09-06,2021-09-07,Jaarfuckingvis,424,331
44,1434881491230543872,2021-09-06,2021-09-08,Jaarfuckingvis,478,54
45,1434881491230543872,2021-09-06,2021-09-09,Jaarfuckingvis,676,198
46,1434897249826312192,2021-09-06,2021-09-06,JoakimGomez,167,0
47,1434897249826312192,2021-09-06,2021-09-07,JoakimGomez,1122,955
48,1434897249826312192,2021-09-06,2021-09-08,JoakimGomez,1203,81
49,1434897249826312192,2021-09-06,2021-09-19,JoakimGomez,1535,332
50,1435107920048373760,2021-09-07,2021-09-07,MothershipSG,676,0
51,1435107920048373760,2021-09-07,2021-09-08,MothershipSG,689,13
52,1437582428579581952,2021-09-14,2021-09-14,zhusu,1522,0
53,1437582428579581952,2021-09-14,2021-09-15,zhusu,2486,964
54,1438703201415418112,2021-09-17,2021-09-18,enceraen,12767,0
55,1438703201415418112,2021-09-17,2021-09-19,enceraen,13864,1097
56,1438703201415418112,2021-09-17,2021-09-21,enceraen,14427,563
57,1439523638827368448,2021-09-19,2021-09-20,frznaxo,236,0
58,1439523638827368448,2021-09-19,2021-09-21,frznaxo,738,502
59,1439523638827368448,2021-09-19,2021-09-22,frznaxo,815,77
60,1439798016433483776,2021-09-20,2021-09-20,sharanvkaur,27,0
61,1439798016433483776,2021-09-20,2021-09-22,sharanvkaur,303,276
62,1440187949073666048,2021-09-21,2021-09-21,MothershipSG,1808,0
63,1440187949073666048,2021-09-21,2021-09-22,MothershipSG,2626,818
64,1440302153449369600,2021-09-21,2021-09-21,FangSladeDrum,349,0
65,1440302153449369600,2021-09-21,2021-09-22,FangSladeDrum,1354,1005
